project,seed,team,fitness_search,duration_sec,generations_executed,stop_reason,AT_old,AC_old,AE_old,AT_corrected,AC_corrected,AE_corrected,AT_compressed,AC_compressed,AE_compressed,must_covered,must_total,should_covered,should_total,could_covered,could_total,feasible_must
P1,20,"[448, 63, 242, 578, 544, 359, 305, 220, 324]",0.6253707893413776,26.205272000050172,105,stable_gens_no_improve,0.571429,0.7111111111111111,0.5947093518518519,0.6319758672699849,0.7111111111111111,0.6451650745768392,0.6319758672699849,0.6055555555555556,0.6253707893413776,2,2,13,13,47,65,True
P2,19,"[479, 415, 370, 317, 335, 398, 336, 498]",0.4830225625438391,23.41340409987606,96,stable_gens_no_improve,0.42857200000000006,0.6571428571428571,0.4666671428571429,0.45117294053464263,0.6571428571428571,0.48550125996934507,0.45117294053464263,0.5785714285714285,0.4830225625438391,0,0,20,20,38,57,True
P3,2,"[181, 94, 560, 290, 65]",0.6901465201465201,26.62055110000074,103,stable_gens_no_improve,0.614638823633157,0.8600000000000001,0.6555323530276308,0.6935286935286934,0.8600000000000001,0.7212739112739112,0.6935286935286934,0.68,0.6901465201465201,3,3,12,15,27,50,True
P4,29,"[305, 543, 544, 324, 220, 359, 183, 448, 503]",0.6784188034188033,24.894237200031057,74,stable_gens_no_improve,0.6190479999999999,0.7222222222222222,0.6362437037037036,0.7008547008547008,0.7222222222222222,0.7044159544159544,0.7008547008547008,0.6111111111111112,0.6784188034188033,2,2,17,17,52,79,True
P5,2,"[317, 351, 7, 516]",0.6349358974358974,9.364447199972346,51,stable_gens_no_improve,0.571429,0.7333333333333333,0.5984130555555556,0.641025641025641,0.7333333333333333,0.6564102564102564,0.641025641025641,0.6166666666666667,0.6349358974358974,1,1,8,8,34,34,True
P6,1,"[453, 311, 490, 494, 33, 483, 94]",0.554120879120879,20.423271799925715,98,stable_gens_no_improve,0.47619100000000003,0.8047619047619048,0.5309528174603174,0.5213675213675213,0.8047619047619048,0.5685999185999185,0.5213675213675213,0.6523809523809524,0.554120879120879,2,2,19,19,35,43,True
P7,4,"[326, 359, 220, 482, 448]",0.6354462204462205,11.65442380006425,65,stable_gens_no_improve,0.5705700683020685,0.8200000000000001,0.612141723585057,0.6272616272616273,0.8200000000000001,0.6593846893846894,0.6272616272616273,0.66,0.6354462204462205,1,1,26,29,27,40,True
P8,17,"[220, 560, 359, 305, 324]",0.6956410256410256,13.269477699883282,71,stable_gens_no_improve,0.6190479999999999,0.8600000000000001,0.6592066666666666,0.7008547008547007,0.8600000000000001,0.7273789173789172,0.7008547008547007,0.68,0.6956410256410256,2,2,18,18,15,32,True
P9,6,"[498, 336, 467, 398, 317, 335]",0.4968315018315018,8.198598799994215,46,stable_gens_no_improve,0.42857200000000006,0.7933333333333333,0.4893655555555556,0.44688644688644685,0.7933333333333333,0.5046275946275947,0.44688644688644685,0.6466666666666667,0.4968315018315018,0,0,5,5,39,71,True
P10,2,"[496, 183, 615, 382, 94, 290, 500, 402]",0.6274545127004143,20.7705844999291,95,stable_gens_no_improve,0.571429,0.7857142857142857,0.6071432142857143,0.6223203026481714,0.7857142857142857,0.6495526331591904,0.6223203026481714,0.6428571428571428,0.6274545127004143,1,1,27,27,57,72,True
P11,2,"[317, 498, 398, 81, 532, 335, 370, 336, 415]",0.49684829059829055,26.290440100012347,156,stable_gens_no_improve,0.42857200000000006,0.7555555555555555,0.4830692592592593,0.45320512820512815,0.7555555555555555,0.503596866096866,0.45320512820512815,0.6277777777777778,0.49684829059829055,0,0,5,5,43,56,True
P12,1,"[317, 336, 398, 335]",0.5038461538461538,12.762127500027418,83,stable_gens_no_improve,0.42857200000000006,0.7999999999999999,0.49047666666666667,0.45512820512820507,0.7999999999999999,0.5126068376068376,0.45512820512820507,0.6499999999999999,0.5038461538461538,0,0,9,9,23,28,True
P13,1,"[498, 583, 589, 720]",0.9002747252747252,10.035856400150806,57,stable_gens_no_improve,0.857143,0.9,0.8642858333333333,0.9670329670329669,0.9,0.9111721611721612,0.9670329670329669,0.7,0.9002747252747252,4,4,3,3,7,8,True
P14,1,"[359, 220, 503, 357]",0.9002747252747252,18.68875729991123,86,stable_gens_no_improve,0.9047620000000001,0.9,0.9007936666666666,0.9670329670329669,0.9,0.9111721611721612,0.9670329670329669,0.7,0.9002747252747252,4,4,4,4,23,45,True
P15,26,"[317, 370, 498, 81, 398]",0.49703296703296695,7.249391600023955,97,stable_gens_no_improve,0.43990985714285713,0.8600000000000001,0.509924880952381,0.43604395604395596,0.8600000000000001,0.5067032967032966,0.43604395604395596,0.68,0.49703296703296695,0,0,22,23,24,31,True
P16,20,"[305, 359, 261, 363, 578, 503, 448, 170, 220]",0.49475359156210214,23.803787800017744,120,stable_gens_no_improve,0.42857200000000006,0.7444444444444444,0.4812174074074074,0.45226404800872877,0.7444444444444444,0.5009607807480148,0.45226404800872877,0.6222222222222222,0.49475359156210214,0,0,12,12,40,57,True
